avg_rssi,max_rssi,min_rssi,ap_count,label
-86.45,-57,-98,11,2
-83.00,-54,-95,8,2
-79.43,-55,-90,7,2
-80.33,-55,-93,6,2
-78.33,-57,-91,6,2
-83.29,-58,-97,7,2
-85.25,-57,-95,8,2
-84.33,-60,-94,9,2
-82.40,-57,-93,10,2
-81.62,-58,-96,8,2
-77.40,-66,-92,5,2
-84.25,-69,-93,4,2
-81.25,-70,-91,4,2
-89.83,-78,-95,6,2
-79.71,-57,-94,7,2
-79.33,-69,-95,6,2
-78.50,-60,-96,6,2
-74.95,-24,-92,19,0
-73.62,-25,-88,16,0
-76.37,-30,-94,19,0
-73.95,-26,-90,19,0
-73.94,-42,-94,16,0
-73.61,-30,-94,18,0
-76.85,-31,-93,20,0
-76.06,-43,-92,17,0
-80.26,-42,-96,27,1
-77.45,-39,-96,20,0
-72.20,-37,-90,15,0
-75.57,-42,-94,21,0
-74.28,-42,-90,18,0
-75.19,-37,-91,21,0
-75.26,-41,-93,19,0
-72.72,-35,-87,18,0
-73.50,-34,-95,20,0
-73.87,-52,-90,8,0
-81.50,-64,-92,10,1
-79.64,-53,-93,11,1
-77.56,-51,-93,9,1
-75.09,-48,-89,11,1
-76.22,-49,-94,9,1
-79.78,-51,-94,9,1
-78.64,-52,-95,14,1
-76.83,-52,-94,12,1
-77.07,-52,-93,14,1

